MOD15A2H.A2005217.h10v09.006.2020242011311.Fpar_500m,MOD15A2H,A2005217,Lat-3.834436Lon-73.31897Samp17Line17,2020242011311,0.88,0.88,F,0.66,0.71,0.71,0.78,F,F,F,F,F,0.9,0.89,0.9,0.9,0.88,0.88,0.88,F,0.67,0.73,0.73,0.73,0.78,0.77,0.75,0.73,0.89,0.89,0.89,0.88,0.88,0.88,0.88,0.88,F,0.67,0.79,0.89,0.9,0.9,0.64,0.61,0.89,0.89,0.89,0.89,0.89,0.88,0.88,0.88,0.88,0.89,0.64,0.77,0.7,0.7,0.65,0.62,0.89,0.89,0.89,0.88,0.89,0.89,0.88,0.89,0.88,0.89,0.89,0.63,0.59,0.62,0.62,0.65,0.8,0.89,0.89,0.89,0.88,0.88,0.88,0.88,0.88,0.89,0.89,0.89,0.9,0.67,0.59,F,0.89,0.89,0.89,0.89,0.88,0.89,0.89,0.88,0.88,0.88,0.65,0.89,0.89,0.89,0.65,0.59,F,0.89,F,0.89,0.89,0.88,0.88,0.88,0.89,0.88,0.88,0.67,0.64,0.67,0.65,F,0.63,0.52,0.87,F,F,0.88,0.88,0.89,0.88,0.89,0.88,0.9,0.72,0.62,0.62,0.62,F,F,F,0.89,0.89,0.88,0.89,0.89,0.89,0.88,0.88,0.88,0.88,0.82,0.67,0.61,0.58,0.58,F,F,0.89,0.89,0.88,0.9,0.9,0.88,0.88,0.88,0.88,0.89,0.89,0.89,0.76,0.57,0.63,0.65,0.89,0.89,0.89,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.76,0.75,0.84,0.79,0.79,0.63,0.89,0.89,0.89,0.89,0.88,0.88,0.88,0.89,0.88,0.88,0.88,0.69,0.63,0.8,0.75,0.79,0.9,0.9,0.88,0.88,0.89,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.53,0.63,0.66,0.75,F,0.9,0.88,0.88,0.89,0.89,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.77,0.65,0.65,0.67,F,0.9,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.89,0.89,0.72,0.67,0.75,0.89,0.89,0.88,0.88,0.88,0.9,0.88,0.88,0.88,0.88,0.88,0.88,0.89,0.89,0.7,0.72,0.82,0.89,0.89,0.88,0.88,0.88,0.89,0.88,0.88,0.89,0.89,0.89,0.88
MOD15A2H.A2005225.h10v09.006.2020242062748.Fpar_500m,MOD15A2H,A2005225,Lat-3.834436Lon-73.31897Samp17Line17,2020242062748,0.88,0.82,F,0.69,0.47,0.77,0.75,F,F,F,F,F,0.9,0.87,0.88,0.88,0.88,0.88,0.86,F,0.71,0.78,0.81,0.67,0.51,0.51,0.75,0.69,0.89,0.88,0.88,0.88,0.88,0.89,0.87,0.87,F,0.78,0.83,0.89,0.89,0.9,0.74,0.75,0.9,0.89,0.88,0.88,0.88,0.89,F,0.88,0.87,0.88,0.77,0.77,0.79,0.8,0.76,0.72,0.84,0.89,0.88,0.88,0.88,0.88,0.8,F,0.88,0.89,0.88,0.67,0.67,0.7,0.71,0.8,0.72,0.89,0.88,0.89,0.89,0.88,0.88,0.8,0.88,0.88,0.89,0.89,0.89,0.81,0.73,F,0.89,0.89,0.89,0.89,0.89,0.89,0.88,0.89,0.88,0.88,0.74,0.89,0.89,0.89,0.79,0.73,F,0.67,F,0.79,0.89,0.66,0.88,0.89,0.89,F,0.88,0.72,0.73,0.68,0.73,F,0.76,0.56,F,F,F,0.89,0.66,0.88,0.89,0.8,0.8,F,0.79,0.72,0.74,0.71,F,F,F,0.89,0.89,0.89,F,0.89,0.88,0.89,F,0.89,F,0.83,0.78,0.7,0.63,0.76,F,F,0.89,0.89,F,F,0.89,0.88,F,F,F,F,0.89,0.89,0.8,0.59,0.66,0.76,0.89,0.89,F,F,F,0.89,0.88,F,F,F,F,0.82,0.79,0.36,0.59,0.67,0.76,0.8,0.8,F,F,F,0.89,F,F,F,F,F,0.79,0.72,0.22,0.3,0.79,0.89,0.89,0.89,F,0.78,F,0.88,F,F,0.89,F,F,0.64,0.76,0.22,0.21,F,0.89,0.89,0.88,0.88,0.78,0.89,0.88,F,F,F,F,F,0.81,0.76,0.69,0.54,F,0.89,0.89,F,F,F,0.89,F,F,F,F,F,F,0.9,0.89,0.12,0.75,0.71,0.89,0.89,F,F,F,0.89,F,F,F,0.81,F,F,0.9,0.89,0.94,0.12,0.16,0.89,F,F,F,0.89,0.89,0.69,0.69,0.81,0.81,0.81,0.81
MOD15A2H.A2005233.h10v09.006.2020244165550.Fpar_500m,MOD15A2H,A2005233,Lat-3.834436Lon-73.31897Samp17Line17,2020244165550,0.88,0.88,F,0.63,0.47,0.54,0.57,F,F,F,F,F,0.89,0.89,0.89,0.89,0.89,0.89,0.88,F,0.63,0.63,0.73,0.68,0.57,0.57,0.65,0.75,0.9,0.89,0.9,0.89,0.89,0.9,0.88,0.88,F,0.7,0.7,0.9,0.9,0.9,0.57,0.48,0.9,0.9,0.89,0.89,0.89,0.9,0.9,0.88,0.89,0.89,0.73,0.77,0.65,0.59,0.38,0.38,0.89,0.9,0.9,0.89,0.89,0.89,0.9,0.89,0.89,0.89,0.9,0.68,0.72,0.66,0.42,0.61,0.61,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.9,0.9,0.69,0.69,F,0.89,0.9,0.89,0.89,0.9,0.9,0.89,0.89,0.89,0.89,0.68,0.9,0.9,0.9,0.76,0.69,F,0.9,F,0.88,0.89,0.9,0.9,0.89,0.9,0.9,0.89,0.63,0.59,0.64,0.7,F,0.61,0.6,0.89,F,F,0.89,0.89,0.89,0.89,0.9,0.89,0.89,0.63,0.6,0.72,0.72,F,F,F,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.66,0.62,0.64,0.67,0.69,F,F,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.9,0.63,0.63,0.62,0.56,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.55,0.5,0.5,0.54,0.44,0.56,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.62,0.6,0.49,0.49,0.49,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.62,0.49,0.49,0.49,F,0.9,0.89,0.89,0.89,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.78,0.59,0.61,0.48,F,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.9,0.61,0.56,0.51,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.88,0.51,0.51,0.51,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
MOD15A2H.A2005241.h10v09.006.2020245045348.Fpar_500m,MOD15A2H,A2005241,Lat-3.834436Lon-73.31897Samp17Line17,2020245045348,0.9,0.82,F,0.62,0.71,0.71,0.68,F,F,F,F,F,0.9,0.89,0.9,0.9,0.9,0.9,0.82,F,0.62,0.7,0.73,0.61,0.66,0.67,0.67,0.59,0.9,0.9,0.89,0.89,0.89,0.9,0.9,0.89,F,0.68,0.7,0.9,0.9,0.9,0.63,0.62,0.9,0.89,0.89,0.89,0.89,0.89,0.9,0.89,0.9,0.89,0.64,0.67,0.65,0.65,0.65,0.65,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.9,0.89,0.9,0.89,0.65,0.65,0.65,0.65,0.65,0.69,0.89,0.89,0.89,0.89,0.88,0.9,0.9,0.9,0.89,0.9,0.9,0.9,0.64,0.63,F,0.87,0.88,0.89,0.89,0.89,0.88,0.88,0.9,0.9,0.9,0.64,0.89,0.9,0.9,0.64,0.63,F,0.87,F,0.87,0.87,0.87,0.87,0.88,0.9,0.9,0.9,0.58,0.6,0.63,0.63,F,0.61,0.53,0.88,F,F,0.85,0.88,0.88,0.88,0.9,0.89,0.89,0.72,0.67,0.61,0.61,F,F,F,0.88,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.9,0.9,0.7,0.64,0.64,0.61,0.61,F,F,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.9,0.9,0.9,0.9,0.72,0.65,0.66,0.62,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.9,0.9,0.69,0.68,0.65,0.65,0.6,0.57,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.9,0.9,0.71,0.63,0.65,0.65,0.6,0.9,0.89,0.89,0.89,0.89,0.89,0.88,0.89,0.89,0.89,0.89,0.89,0.61,0.65,0.65,0.65,F,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.65,0.65,0.65,0.65,F,0.89,0.89,0.9,0.89,0.88,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.9,0.65,0.6,0.6,0.9,0.9,0.89,0.89,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.9,0.7,0.68,0.67,0.9,0.89,0.89,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89
MOD15A2H.A2005249.h10v09.006.2020245180221.Fpar_500m,MOD15A2H,A2005249,Lat-3.834436Lon-73.31897Samp17Line17,2020245180221,0.83,0.8,F,0.66,0.74,0.76,0.7,F,F,F,F,F,F,0.87,0.85,0.87,0.87,F,0.84,F,0.68,0.75,0.8,0.58,0.72,0.79,0.77,0.68,0.87,F,F,0.88,0.87,0.88,0.83,0.81,F,0.69,0.75,0.88,0.88,0.88,0.69,0.7,0.88,0.87,F,0.44,0.88,0.87,0.84,0.83,0.84,0.86,0.64,0.75,0.74,0.8,0.64,0.64,0.89,0.87,F,F,0.85,0.44,F,0.86,0.85,F,F,0.72,0.69,0.74,0.69,0.71,0.71,0.87,F,F,F,0.85,0.43,0.43,0.85,0.82,0.87,0.88,0.88,0.65,0.64,F,0.87,0.87,0.82,0.86,F,0.87,0.85,F,F,0.85,0.66,0.89,0.88,0.89,0.69,0.62,F,0.83,F,0.39,0.86,0.76,0.86,0.85,F,F,0.87,0.68,0.7,0.7,0.67,F,0.69,0.58,0.87,F,F,0.88,F,0.86,0.85,0.23,0.23,0.87,0.73,0.68,0.64,0.66,F,F,F,0.87,0.81,0.81,0.86,0.86,0.86,F,F,F,F,0.73,0.71,0.71,0.61,0.61,F,F,F,F,F,0.54,0.54,0.86,0.21,F,F,F,0.88,0.88,0.76,0.66,0.51,0.67,0.88,F,0.87,0.87,F,0.54,0.85,0.21,F,F,F,0.72,0.74,0.75,0.75,0.69,0.8,0.9,F,0.9,0.9,0.9,0.85,F,F,F,F,0.6,0.74,0.72,0.77,0.77,0.7,0.9,0.9,0.9,F,F,0.85,0.85,F,F,F,F,0.6,0.56,0.64,0.57,0.57,F,0.89,0.87,0.75,0.75,0.75,0.85,0.85,F,F,F,F,F,0.71,0.68,0.7,0.63,F,0.89,0.88,0.41,0.75,0.75,0.36,0.36,F,F,F,F,0.73,F,0.88,0.79,0.67,0.67,0.89,0.88,0.41,0.41,0.85,F,F,F,F,F,F,0.84,0.88,F,0.79,0.78,0.77,0.88,0.87,F,F,0.85,0.05,F,F,F,F,F,F
MOD15A2H.A2005257.h10v09.006.2020246072408.Fpar_500m,MOD15A2H,A2005257,Lat-3.834436Lon-73.31897Samp17Line17,2020246072408,0.87,F,F,0.38,0.38,0.7,0.72,F,F,F,F,F,0.89,0.9,0.9,0.89,0.89,0.88,F,F,0.38,0.54,0.74,0.67,0.7,0.7,0.7,0.68,0.89,0.89,0.89,0.89,0.88,0.88,0.88,0.86,F,0.67,0.54,0.88,0.9,0.9,0.72,0.72,0.89,0.89,0.89,0.89,0.88,0.88,0.88,0.89,0.89,F,0.7,0.67,0.45,0.45,0.82,0.63,0.88,0.9,0.9,0.89,0.89,0.9,0.9,0.9,0.9,0.89,0.86,0.7,0.7,0.74,0.45,0.45,0.46,0.88,0.9,0.89,0.89,0.88,0.88,0.89,0.89,F,0.89,0.86,F,0.66,0.66,F,0.86,0.88,0.87,0.83,0.83,0.88,0.88,0.88,0.88,0.88,0.36,F,F,F,0.65,0.65,F,0.84,F,0.87,0.89,0.89,0.89,0.84,0.84,0.86,0.86,0.34,0.68,0.39,0.41,F,0.5,0.58,0.83,F,F,0.78,0.9,0.89,0.84,0.89,0.9,0.84,0.74,0.45,0.39,0.41,F,F,F,0.84,0.89,0.84,0.83,0.83,0.89,0.83,0.9,0.9,0.82,0.74,0.62,0.45,0.67,0.65,F,F,0.88,0.89,0.83,0.83,0.89,0.89,0.83,0.79,0.79,0.88,0.9,0.89,0.74,0.68,0.57,0.61,0.89,0.89,0.89,0.88,0.86,0.89,0.89,0.88,0.87,0.76,0.82,0.61,0.61,0.68,0.69,0.58,0.63,0.89,0.89,0.89,0.9,0.89,0.89,0.89,0.89,0.9,0.89,0.89,0.49,0.49,0.49,0.84,0.58,0.89,0.9,0.89,0.89,0.89,0.85,0.88,0.89,0.89,0.9,0.89,0.89,0.49,0.49,0.51,0.51,F,0.89,0.89,0.89,0.86,0.88,0.85,0.88,0.89,0.86,0.87,0.89,0.88,0.51,0.65,0.49,0.48,F,0.9,0.88,0.89,0.88,0.88,0.85,0.89,0.89,0.86,0.86,0.89,0.89,0.85,0.9,0.57,0.6,0.6,0.88,0.87,0.9,0.87,0.88,0.85,0.89,0.85,0.9,0.89,0.87,0.87,0.9,0.87,0.48,0.49,0.67,0.88,0.89,0.83,0.9,0.89,0.85,0.88,0.85,0.85,0.85,0.85,0.87
MOD15A2H.A2005265.h10v09.006.2020246194902.Fpar_500m,MOD15A2H,A2005265,Lat-3.834436Lon-73.31897Samp17Line17,2020246194902,0.9,0.83,F,0.66,0.76,0.72,0.68,F,F,F,F,F,0.84,0.9,0.9,0.9,0.9,0.9,0.82,F,0.72,0.77,0.75,0.69,0.71,0.76,0.75,0.69,0.85,0.9,0.9,0.9,0.9,0.9,0.9,0.9,F,0.7,0.77,0.87,0.87,0.87,0.71,0.68,0.87,0.86,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.84,0.7,0.73,0.76,0.78,0.66,0.66,0.87,0.87,0.86,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.84,0.67,0.67,0.73,0.68,0.71,0.76,0.87,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.86,0.89,0.88,0.7,0.66,F,0.87,0.82,0.87,0.9,0.9,0.9,0.84,0.9,0.9,0.9,0.7,0.86,0.82,0.86,0.72,0.63,F,0.87,F,0.88,0.9,0.9,0.9,0.86,0.9,0.9,0.9,0.7,0.69,0.69,0.66,F,0.7,0.61,0.87,F,F,0.9,0.9,0.9,0.86,0.9,0.9,F,0.71,0.65,0.65,0.63,F,F,F,0.87,0.82,0.9,0.9,0.9,0.9,0.83,0.9,0.9,0.9,0.73,0.7,0.7,0.61,0.59,F,F,0.87,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.86,0.9,0.68,0.68,0.49,0.64,0.86,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.75,0.73,0.74,0.74,0.71,0.64,0.87,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.71,0.67,0.75,0.67,0.71,0.87,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.62,0.66,0.57,0.67,F,0.88,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.73,0.7,0.71,0.51,F,0.88,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.78,0.78,0.71,0.67,0.66,0.87,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.78,0.78,0.8,0.77,0.77,0.87,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
MOD15A2H.A2005273.h10v09.006.2020247105508.Fpar_500m,MOD15A2H,A2005273,Lat-3.834436Lon-73.31897Samp17Line17,2020247105508,0.9,0.86,F,0.57,0.46,0.5,0.71,F,F,F,F,F,0.9,0.87,0.9,0.9,0.9,0.9,0.85,F,0.65,0.73,0.76,0.61,0.71,0.51,0.52,0.65,0.9,0.9,0.9,0.9,0.9,0.9,0.89,0.9,F,0.67,0.67,0.89,0.89,0.84,0.51,0.51,0.77,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.72,0.67,0.67,0.71,0.7,0.7,0.83,0.89,0.9,0.9,0.9,0.9,0.9,0.9,0.89,0.9,0.9,0.68,0.65,0.64,0.71,0.67,0.73,0.89,0.88,0.9,0.9,0.9,0.9,0.9,0.9,0.89,0.9,0.9,0.9,0.44,0.64,F,0.89,0.88,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.65,0.9,0.9,0.9,0.45,0.63,F,0.64,F,0.87,0.89,0.9,0.9,0.9,0.9,0.9,0.9,0.64,0.63,0.61,0.65,F,0.45,0.6,0.89,F,F,0.89,0.9,0.9,0.9,0.9,0.9,0.9,0.76,0.68,0.69,0.62,F,F,F,0.89,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.76,0.76,0.71,0.62,0.65,F,F,0.89,0.89,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.88,0.89,0.74,0.6,0.57,0.67,0.89,0.89,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.75,0.68,0.74,0.61,0.54,0.45,0.89,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.7,0.68,0.68,0.71,0.72,0.89,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.63,0.42,0.67,0.67,F,0.84,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.77,0.65,0.46,0.45,F,0.79,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.89,0.89,0.46,0.48,0.45,0.89,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.89,0.89,0.47,0.48,0.48,0.89,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
MOD15A2H.A2005281.h10v09.006.2020247191003.Fpar_500m,MOD15A2H,A2005281,Lat-3.834436Lon-73.31897Samp17Line17,2020247191003,0.77,0.68,F,0.31,0.48,0.48,0.47,F,F,F,F,F,0.83,0.8,0.8,0.76,0.76,0.76,0.76,F,0.4,0.4,0.42,0.34,0.56,0.56,0.65,0.59,0.8,0.8,F,F,0.77,F,0.76,0.76,F,0.57,0.57,0.84,0.84,0.85,0.57,0.62,0.86,F,F,F,F,F,F,0.75,0.75,0.82,0.5,0.5,0.57,0.62,0.57,0.57,0.84,0.84,F,F,F,F,F,F,0.79,0.79,0.82,0.5,0.5,0.57,0.57,0.57,0.57,F,F,F,F,F,F,F,F,0.79,0.79,0.84,0.84,0.51,0.51,F,0.8,0.8,F,F,F,F,F,F,F,F,0.57,0.85,0.83,0.83,0.56,0.56,F,0.8,F,F,F,F,F,F,F,F,F,0.57,0.57,0.57,0.57,F,0.56,0.45,0.79,F,F,0.67,F,F,F,F,F,F,0.57,0.57,0.51,0.51,F,F,F,0.83,0.83,0.67,0.67,F,F,F,F,F,F,0.5,0.5,0.46,0.46,0.44,F,F,0.83,0.83,F,F,F,F,F,F,F,F,0.82,0.82,0.46,0.46,0.44,0.44,0.77,0.77,0.77,F,F,F,F,F,F,F,F,0.56,0.56,0.53,0.53,0.55,0.55,F,F,F,F,F,F,F,F,F,F,F,0.54,0.54,0.52,0.52,0.54,0.85,F,F,F,F,F,F,F,F,F,F,F,0.42,0.54,0.52,0.52,F,0.85,F,F,F,F,F,F,F,F,F,F,F,0.54,0.57,0.51,0.5,F,0.87,F,F,F,F,F,F,F,F,F,F,F,F,F,0.61,0.51,0.51,0.84,0.84,F,F,F,F,F,F,F,F,F,F,F,F,0.61,0.62,0.6,0.84,F,F,F,F,F,F,F,F,F,F,F
MOD15A2H.A2005289.h10v09.006.2020248192258.Fpar_500m,MOD15A2H,A2005289,Lat-3.834436Lon-73.31897Samp17Line17,2020248192258,0.72,0.72,F,0.46,0.46,0.17,0.17,F,F,F,F,F,F,F,F,F,F,0.8,0.8,F,0.41,0.45,0.34,0.16,0.09,0.09,0.04,0.06,F,F,F,F,F,F,0.8,0.8,F,0.41,0.45,F,F,F,0.04,0.04,F,F,F,F,0.49,0.49,F,0.8,0.8,0.84,0.57,0.54,0.49,0.49,0.45,0.45,F,F,F,0.6,0.6,0.25,0.25,F,0.78,0.78,0.81,0.52,0.41,0.39,0.39,0.45,0.45,F,0.87,0.87,0.79,0.79,0.74,0.74,F,0.75,0.75,F,0.73,0.41,0.39,F,0.79,0.79,0.83,0.85,0.85,0.87,0.87,0.74,F,F,0.37,0.72,F,0.73,0.41,0.38,F,0.71,F,0.54,0.79,0.79,0.87,0.87,0.87,0.88,0.88,0.37,0.37,0.31,0.35,F,0.43,0.34,0.73,F,F,0.79,0.79,0.82,0.82,F,F,F,0.4,0.4,0.33,0.36,F,F,F,0.73,0.56,0.56,0.81,0.81,F,F,F,F,F,0.42,0.42,0.41,0.42,0.42,F,F,0.79,0.67,0.67,0.82,0.82,F,F,F,F,F,F,0.75,0.41,0.42,0.37,0.49,0.82,0.8,F,F,0.83,0.83,F,F,F,F,F,0.46,0.42,0.42,0.48,0.48,0.59,0.85,F,F,F,0.83,0.83,0.87,F,F,F,F,0.56,0.5,0.5,0.56,0.56,0.85,0.85,F,F,F,0.83,0.83,F,F,F,0.88,F,0.46,0.47,0.47,0.53,F,0.85,0.85,F,F,F,0.83,0.83,0.86,0.86,F,0.88,0.88,0.66,0.49,0.49,0.48,F,0.87,F,F,F,F,0.83,0.83,0.86,0.86,0.86,0.86,0.86,0.86,0.85,0.62,0.57,0.57,0.87,F,F,F,F,0.79,0.79,0.84,F,F,0.72,0.72,F,F,0.46,0.63,0.63,0.86,F,F,0.77,0.77,0.83,F,F,F,F,0.7,0.7
MOD15A2H.A2005297.h10v09.006.2020249105802.Fpar_500m,MOD15A2H,A2005297,Lat-3.834436Lon-73.31897Samp17Line17,2020249105802,0.9,0.05,F,0.42,0.43,0.43,0.57,F,F,F,F,F,0.9,0.9,F,F,F,0.9,0.05,F,0.42,0.43,0.43,0.47,0.57,0.6,0.6,0.61,F,F,F,F,F,F,0.05,0.47,F,0.45,0.39,0.72,0.84,0.84,0.5,0.5,F,F,F,0.9,0.9,F,F,0.32,0.51,0.51,0.48,0.38,0.38,0.58,0.58,0.5,F,F,F,F,F,F,F,F,0.44,0.58,0.58,0.48,0.45,0.45,0.58,0.58,0.55,0.87,F,F,F,F,F,F,F,0.53,0.53,0.58,0.64,0.34,0.43,F,0.87,F,F,F,F,F,F,F,F,F,0.21,0.62,0.62,0.62,0.35,0.43,F,F,F,F,F,F,F,F,F,F,F,0.3,0.28,0.31,0.31,F,0.43,0.47,F,F,F,0.85,0.85,F,F,F,F,F,0.3,0.3,0.48,0.48,F,F,F,0.86,F,F,F,F,F,F,F,F,F,0.36,0.36,0.36,0.4,0.4,F,F,0.86,F,0.86,F,F,F,F,F,F,F,0.67,0.74,0.34,0.34,0.47,0.44,0.83,0.82,0.84,0.84,F,F,F,F,F,F,F,0.41,0.67,0.41,0.41,0.43,0.47,0.79,0.79,0.82,0.86,0.86,F,F,F,F,F,F,0.49,0.46,0.46,0.4,0.4,0.8,0.76,0.76,0.82,0.84,0.88,0.88,F,F,F,F,F,0.64,0.41,0.41,0.41,F,0.82,0.81,0.8,F,F,F,F,F,F,F,F,F,0.54,0.33,0.33,0.3,F,F,0.8,0.8,0.83,0.83,0.83,F,F,F,F,F,F,0.74,0.78,0.38,0.33,0.34,F,0.8,0.8,F,F,F,F,F,F,F,F,F,0.74,0.78,0.38,0.38,0.35,F,F,F,F,F,F,F,F,F,F,F,F
MOD15A2H.A2005305.h10v09.006.2020249184552.Fpar_500m,MOD15A2H,A2005305,Lat-3.834436Lon-73.31897Samp17Line17,2020249184552,0.89,0.9,F,F,F,F,F,F,F,F,F,F,F,F,0.9,0.9,0.9,0.89,0.89,F,F,F,F,0.58,F,F,F,F,F,F,F,0.9,0.9,0.9,0.89,0.9,F,F,F,F,F,F,F,F,F,F,F,0.89,0.89,0.9,0.9,0.89,0.89,0.9,F,F,F,F,F,F,0.9,0.9,0.9,0.9,F,0.89,0.9,0.9,0.88,0.9,0.9,F,F,F,F,F,F,0.9,0.9,0.9,0.9,F,F,F,F,0.9,0.9,0.9,F,F,F,F,F,F,0.9,0.9,0.9,0.9,F,F,F,F,F,F,F,F,F,F,F,F,F,0.9,0.9,0.9,0.9,F,F,F,F,F,F,F,F,F,F,0.61,0.89,F,F,0.89,0.89,0.89,F,F,F,F,F,F,F,F,F,F,F,F,0.89,0.89,0.89,0.89,0.89,F,0.9,0.9,F,F,F,F,F,F,F,F,F,F,0.9,0.9,0.89,0.89,F,F,0.9,F,F,F,F,F,F,F,F,0.9,0.9,0.9,0.9,0.89,0.89,F,F,F,F,F,F,F,F,F,F,F,F,0.9,0.9,0.9,0.9,0.9,0.9,0.9,F,F,F,F,F,F,F,F,F,F,F,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.61,F,F,F,F,F,F,0.89,0.89,0.9,0.9,F,F,F,F,0.9,0.9,F,F,F,F,F,F,F,0.89,0.89,0.9,0.9,F,F,F,F,F,0.9,F,F,F,F,F,F,F,0.9,0.9,0.9,F,F,F,F,F,F,0.9,F,F,F,F,F,F,F,0.9,0.9,0.9,F,F,F,F,F,F,F
